Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
1980.11.5,255675,Kylix fragments,Kylix fragments,"Greek, Attic",Classical,ca. 460 B.C.,-460,-460,Greece,http://www.metmuseum.org/art/collection/search/255675
41.162.125,254297,Skyphos,Terracotta skyphos (deep drinking cup),"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/254297
1985.403.1,255852,Dish,Marble dish,Greek,Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/255852
74.51.867,240456,Bowl,Bowl,Cypriot,Iron Age,ca. 1050--900 B.C.,-1050,-900,Cyprus,http://www.metmuseum.org/art/collection/search/240456
"22.139.12, .13",251180,Greaves,Pair of bronze greaves,Etruscan,Late Classical,4th century B.C.,-4,-4,Italy,http://www.metmuseum.org/art/collection/search/251180
54.117.23,323812,Sculpture,Dog,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/323812
15.43.259,249011,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/249011
59.41.86,324915,Brick,Inscribed brick,Neo-Sumerian,Ur III,ca. 2112--2095 B.C.,-2112,-2095,Mesopotamia,http://www.metmuseum.org/art/collection/search/324915
11.186.12,248513,Jug,Terracotta jug with spirals,Minoan,Middle Minoan IIIB,ca. 1700--1600 B.C.,-1700,-1600,Crete,http://www.metmuseum.org/art/collection/search/248513
68.11.44,255268,Beads and shell,Glass bead,"Greek, South Italian, Apulian",Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/255268
20.197,250950,Lekythos,Lekythos,"Greek, Attic",Classical,ca. 460 B.C.,-460,-460,Greece,http://www.metmuseum.org/art/collection/search/250950
74.51.2697,242248,"Statue of a votary, male, with bird",Limestone statuette of a boy holding a bird and a branch of leaves,Cypriot,Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/242248
19.192.43,250776,"Cup, fragment",Terracotta cup,Roman,Early Imperial,1st century B.C.--1st century A.D.,-30,60,Italy,http://www.metmuseum.org/art/collection/search/250776
41.160.558,253777,Scaraboid,Transparent glass scaraboid,"Greek, Ionian",Classical,ca. 450--400 B.C.,-450,-400,Greece,http://www.metmuseum.org/art/collection/search/253777
74.51.1120,240707,Bottle,Bottle,Cypriot,Middle Cypriot,1900--1600 B.C.,-1900,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240707
74.51.983,240571,Amphora,Amphora,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240571
17.194.26,249271,Intaglio,Glass ring stone,Greek,Hellenistic,ca. 3rd--2nd century B.C.,-299,-100,Greece,http://www.metmuseum.org/art/collection/search/249271
11.186.62,248563,Vase fragment,Terracotta vessel fragment with marine motif,Minoan,Late Minoan II,ca. 1450--1400 B.C.,-1450,-1400,Crete,http://www.metmuseum.org/art/collection/search/248563
22.139.25,251203,"Hydria, kalpis",Terracotta hydria: kalpis (water jar),"Greek, Attic",Classical,ca. 430--420 B.C.,-430,-420,Greece,http://www.metmuseum.org/art/collection/search/251203
54.117.26,324339,Sculpture,"Apkallu figure: bird-headed, winged figure carrying a bucket",Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324339
26.199.89,252659,Loom weight,Terracotta loom weight,Lydian,Archaic or later,6th century or later,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/252659
23.249,251453,Relief of a charioteer?,Marble relief fragment with a male figure,Roman,Early Imperial,,-25,197,Italy,http://www.metmuseum.org/art/collection/search/251453
74.51.3129,242563,Earring with head of bull,Gold pendant in the form of a bull's head,Cypriot,Late Bronze Age,ca. 1400--1050 B.C.,-1400,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242563
17.230.9,250547,Skyphos,Terracotta skyphos (deep drinking cup),"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/250547
06.1021.65,247234,Mastoid skyphos,Mastoid skyphos,"Greek, Attic",Archaic,ca. 500--490 B.C.,-500,-490,Greece,http://www.metmuseum.org/art/collection/search/247234
81.6.94,244965,Intaglio,"Carnelian ring stone of  Asclepius, the god of medicine",Roman,Late Republican or Imperial,ca. 1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/244965
17.194.255,249498,Flask in the form of a date,Glass bottle shaped like a date,Roman,Mid Imperial,mid-1st to early 2nd century A.D.,50,120,Italy,http://www.metmuseum.org/art/collection/search/249498
75.2.2,244808,Lekythos,Lekythos,"Greek, Attic",Classical,mid-5th century B.C.,-475,-425,Greece,http://www.metmuseum.org/art/collection/search/244808
1992.52.2,327463,Vessel ,Vessel fragment in the form of a nude female,Elamite,Neo-Elamite,ca. 8th--7th century B.C.,-800,-600,Southwestern Iran,http://www.metmuseum.org/art/collection/search/327463
74.51.917,240506,Spindle whorl,Spherical spindle-whorl with broad top and base,Cypriot,Early Cypriot III--Middle Cypriot II,ca. 2000--1725 B.C.,-2000,-1725,Cyprus,http://www.metmuseum.org/art/collection/search/240506
08.170.80,248033,Denarius of Julius Caesar,Silver denarius of Julius Caesar,Roman,Late Republican,47--46 B.C.,-50,-40,Italy,http://www.metmuseum.org/art/collection/search/248033
61.206,255118,"Sarcophagus of a child, lead",Lead sarcophagus of a child,Roman,Late Imperial,3rd century A.D.,200,299,Italy,http://www.metmuseum.org/art/collection/search/255118
17.230.17,250553,Bracelet with glass inlay,Bracelet with glass inlay,Roman,Late Imperial or Late Antique,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/250553
74.51.2847,242398,Head of a man in Assyrian helmet,Limestone head of a bearded male wearing a conical helmet,Cypriot,Archaic,6th--5th century B.C.,-599,-400,Cyprus,http://www.metmuseum.org/art/collection/search/242398
74.51.2039,241592,Lamp,Terracotta oil lamp,Roman,Late Imperial,5th century A.D.,400,499,Italy,http://www.metmuseum.org/art/collection/search/241592
26.199.131,252699,Vase fragment,Vase fragment,"East Greek/Sardis, Lydian",Geometric,,-1050,-700,Turkey,http://www.metmuseum.org/art/collection/search/252699
10.179.7,248277,Vase fragment,Terracotta rim fragment with curvilinear motifs,Mycenaean,Late Helladic IIIA,ca. 1400--1300 B.C.,-1400,-1300,Greece,http://www.metmuseum.org/art/collection/search/248277
91.1.1334,245722,Inkwell,Glass jar,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/245722
74.51.3062,242495,Earring or spiral,Gold spiral,Cypriot,Late Bronze Age,ca. 1600--1100 B.C.,-1600,-1100,Cyprus,http://www.metmuseum.org/art/collection/search/242495
12.232.11,248710,Statuette of Aphrodite and Eros,Terracotta statuette of Aphrodite and Eros,"Greek, South Italian",Hellenistic,3rd century B.C.,-299,-200,Italy,http://www.metmuseum.org/art/collection/search/248710
"96.9.224a, b",246268,Cinerary urn with lid,Travertine cinerary urn,Etruscan,Hellenistic,2nd century B.C.,-199,-100,Italy,http://www.metmuseum.org/art/collection/search/246268
17.194.2532,250532,"Amulet, Aphrodite",Faience statuette of Aphrodite,"Egyptian, Ptolemaic",Hellenistic,334--30 B.C.,-334,-30,Egypt,http://www.metmuseum.org/art/collection/search/250532
30.119.51,253256,Vase fragment,Vase fragment,"Neolithic, Nemea","Neolithic, first period",ca. 4000 B.C.,-4999,-4000,Greece,http://www.metmuseum.org/art/collection/search/253256
57.80.6,324689,Relief,Furniture plaque carved in relief with a cow suckling a calf,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Syria,http://www.metmuseum.org/art/collection/search/324689
57.80.7,324690,Relief,Furniture plaque carved in relief with a stag grazing among plants,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Syria,http://www.metmuseum.org/art/collection/search/324690
23.119.15,251291,Vase fragment,Vase fragment,"Greek, Laconian",Helladic,,-2000,-1550,Greece,http://www.metmuseum.org/art/collection/search/251291
57.80.9,324692,Relief,"Furniture plaque carved in relief showing two winged, male figures flanking an infant on a lotus flower",Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Syria,http://www.metmuseum.org/art/collection/search/324692
1978.93.32,326460,Jar,Jar,Parthian,Parthian,ca. 1st century B.C.--1st century A.D. ,-100,100,Iran,http://www.metmuseum.org/art/collection/search/326460
24.97.101,251529,Stamp,Bronze stamp,"Roman, Asia Minor",Early Imperial,1st century A.D.,1,99,Turkey,http://www.metmuseum.org/art/collection/search/251529
22.139.56,251229,"Antefix, female head",Terracotta antefix (roof tile),"Greek, South Italian",Archaic,ca. 625--600 B.C.,-625,-600,Italy,http://www.metmuseum.org/art/collection/search/251229
91.1.442,245599,Alabastron,Alabastron,"Greek, Attic",Archaic,ca. 510--500 B.C.,-510,-500,Greece,http://www.metmuseum.org/art/collection/search/245599
13.227.13,248793,Statuette of a woman,Terracotta statuette of a nude woman,"Greek, South Italian, Tarentine",Hellenistic,3rd century B.C.,-299,-200,Italy,http://www.metmuseum.org/art/collection/search/248793
74.51.881,240470,"Oinochoe, miniature","Oinochoe, miniature",Cypriot,Cypro-Geometric III,850--750 B.C.,-850,-750,Cyprus,http://www.metmuseum.org/art/collection/search/240470
57.80.16,324699,Relief,Openwork furniture plaque with a grazing stag,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Syria,http://www.metmuseum.org/art/collection/search/324699
2016.253,711029,Terracotta group,Terracotta Banquet Group,Greek,Hellenistic,ca. 3rd--2nd century B.C.,0,0,Greece,http://www.metmuseum.org/art/collection/search/711029
74.51.5021,243900,Mace head,Gabbro mace head,Cypriot,Early Bronze Age,ca. 2500--1900 B.C.,-2500,-1900,Cyprus,http://www.metmuseum.org/art/collection/search/243900
17.194.1888,250254,Bowl,Terracotta bowl,"Greek, South Italian, Campanian",Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/250254
58.31.2,324738,Relief,Furniture plaque carved in relief with standing woman,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324738
58.31.3,324739,Relief,Openwork furniture plaque with a grazing oryx in a forest of fronds,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324739
03.23.18,247038,Patera,Bronze patera (salver),Etruscan,Archaic,ca. 550 B.C.,-550,-550,Italy,http://www.metmuseum.org/art/collection/search/247038
74.51.958,240546,"Oinochoe, miniature","Oinochoe, miniature",Cypriot,Iron Age,ca. 1050--900 B.C.,-1050,-900,Cyprus,http://www.metmuseum.org/art/collection/search/240546
26.31.259,252209,"Seal, cushion",Carnelian Cushion,Minoan,Late Minoan I,ca. 1600--1450 B.C.,-1600,-1450,Crete,http://www.metmuseum.org/art/collection/search/252209
58.31.14,324750,Relief,Border strip,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324750
X.21.195,256736,Horn-shaped vessel,Glass horn-shaped vessel,Roman,Late Imperial or Early Byzantine,4th--early 5th century A.D.,300,425,Italy,http://www.metmuseum.org/art/collection/search/256736
06.1021.41,247213,Kantharos in the form of two heads,Kantharos in the form of two heads,"Greek, South Italian, Campanian",Classical,late 5th century B.C.,-430,-400,Italy,http://www.metmuseum.org/art/collection/search/247213
74.51.823,240411,Vase in the form of an animal,Terracotta zoomorphic askos (vessel),Cypriot,Middle Cypriot,1900--1600 B.C.,-1900,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240411
74.51.1483,241038,Head of a male votary,Male figurine,Cypriot,Cypro-Archaic II,ca. 600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/241038
19.192.81.65,250875,Volute-krater fragment,Volute-krater fragment,"Greek, South Italian, Apulian",Late Classical,ca. 400--350 B.C.,-400,-350,Italy,http://www.metmuseum.org/art/collection/search/250875
74.51.5850,244725,Jar,Jar,Cypriot,Bronze Age,ca. 3200--1050 B.C.,-3200,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/244725
17.194.1481,250143,Bowl,Glass mosaic bowl,"Roman, Eastern Mediterranean","Early Imperial, Julio-Claudian",1st half of 1st century A.D.,1,50,Levant,http://www.metmuseum.org/art/collection/search/250143
74.51.4219,243631,Ring with scarab,Gold ring with glass scarab,Cypriot,Late Archaic,6th--5th century B.C.,-599,-400,Cyprus,http://www.metmuseum.org/art/collection/search/243631
91.1.2021,257221,"Fragment, mosaic",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257221
81.6.137,245008,Intaglio,Sard ring stone,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/245008
08.258.42,248114,Grave stele of a woman,Marble grave stele of a woman,"Greek, Boeotian",Classical,425--400 B.C.,-425,-400,Greece,http://www.metmuseum.org/art/collection/search/248114
1983.535.68,326821,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326821
81.6.125,244996,Intaglio,Intaglio,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/244996
96.9.483,246477,Whorl,"Pierced disk, perhaps from an earring or fibula (safety pin)",Etruscan or Italic,Late Geometric,7th century B.C.,-699,-600,Italy,http://www.metmuseum.org/art/collection/search/246477
10.210.9,248294,Neck-amphora,Terracotta neck-amphora (jar),Etruscan,Archaic,late 6th century B.C.,-550,-500,Italy,http://www.metmuseum.org/art/collection/search/248294
74.51.964,240552,Krater,Terracotta chariot krater,"Helladic, Mycenaean",Late Helladic IIIA:1,ca. 1375--1350 B.C.,-1400,-1300,Greece,http://www.metmuseum.org/art/collection/search/240552
74.51.1649,241204,Statuette of a female from a ring dance,Terracotta statuette of a woman from a ring dance,Cypriot,Cypro-Classical I,5th century B.C.,-499,-400,Cyprus,http://www.metmuseum.org/art/collection/search/241204
30.119.27,253232,Vase fragment,Vase fragment,"Neolithic, Thessaly","Neolithic, second period",ca. 4000--3000 B.C.,-3999,-3000,Greece,http://www.metmuseum.org/art/collection/search/253232
17.194.370,249606,"Cameo, cup fragment",Glass cameo cup fragment with incuse decoration,Roman,Early Imperial,end of 1st century B.C--beginning of 1st century A.D.,-20,30,Italy,http://www.metmuseum.org/art/collection/search/249606
26.164.5,252570,Statuette of an animal,Statuette of an animal,East Greek/Sardis,Classical,5th century B.C.,-499,-400,Turkey,http://www.metmuseum.org/art/collection/search/252570
06.1021.19,247192,Alabastron,Terracotta alabastron (perfume vase),"Greek, Corinthian",Middle Corinthian,ca. 590--570 B.C.,-590,-570,Greece,http://www.metmuseum.org/art/collection/search/247192
53.5.43,254768,"Pinax, silenos",Fragment of a terracotta plaque,"Greek, Cretan",Classical,5th century B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/254768
17.194.565,249800,Astragal,Glass astragal (knucklebone),Greek,Hellenistic,3rd--2nd century B.C.,-299,-100,Greece,http://www.metmuseum.org/art/collection/search/249800
62.269.7,325568,Furniture support,Furniture support carved in the round with a lion's hind leg,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/325568
96.9.485,246479,Whorl,Whorl,Etruscan or Italic,Late Geometric,7th century B.C.,-700,-601,Italy,http://www.metmuseum.org/art/collection/search/246479
28.57.15,252967,Torso of a youth,Marble statuette of Apollo?,Roman,Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/252967
45.11.4,254526,Statuette of a woman,Marble female figure,Cycladic,Early Cycladic I,3200--2700 B.C.,-3200,-2700,Greece,http://www.metmuseum.org/art/collection/search/254526
24.195.22,251588,Statuette of a woman votary,Lead figure of a woman,"Greek, Laconian",Archaic,late 7th--early 6th century B.C.,-625,-500,Greece,http://www.metmuseum.org/art/collection/search/251588
74.51.2224,241777,Lamp,Lamp,"Roman, Cypriot",Late Imperial,Late 3rd century A.D.,275,300,Cyprus,http://www.metmuseum.org/art/collection/search/241777
17.194.789,250016,Alabastron,Glass alabastron (perfume bottle),"Greek, Eastern Mediterranean or Italian",Late Classical or Hellenistic,4th--3rd century B.C.,-350,-200,Greece,http://www.metmuseum.org/art/collection/search/250016
14.30.3,248824,Jar,Terracotta jar with vertical handles,Lydian,Archaic,6th century B.C.,-599,500,Turkey,http://www.metmuseum.org/art/collection/search/248824
64.37.3,325662,Relief,Openwork furniture plaque with a cow suckling a calf,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/325662
42.11.21,254464,Scaraboid with ship,Chalcedony scaraboid,Greek,Archaic,ca. 525--500 B.C.,-525,-500,Greece,http://www.metmuseum.org/art/collection/search/254464
97.22.6,246684,Head of a grotesque,Bronze head of a grotesque,Roman,Imperial,ca. 1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/246684
74.51.404,239990,"Vase, miniature","Vase, miniature",Cypriot,Cypro-Classical II ?,400--310 B.C.,-400,-310,Cyprus,http://www.metmuseum.org/art/collection/search/239990
74.51.1293,240880,Figurine of a dog (?),Terracotta dog (?) figurine with suspension hole,Cypriot,Middle Cypriot I,ca. 1900--1800 B.C.,-1900,-1800,Cyprus,http://www.metmuseum.org/art/collection/search/240880
16.174.34.8,249144,Vase fragment,Vase fragment,Etruscan,Archaic,ca. 575--550 B.C.,-575,-550,Italy,http://www.metmuseum.org/art/collection/search/249144
1989.281.21,327410,Pin,Pin terminating in three eagles' heads,Urartian,Iron Age III,ca. 7th century B.C.,-700,-600,Urartu,http://www.metmuseum.org/art/collection/search/327410
95.15.299,246046,Ring,Gold ring,Etruscan,Classical,4th--3rd century B.C.,-399,-200,Italy,http://www.metmuseum.org/art/collection/search/246046
29.100.79,252993,Jar with handles,Glass jar,"Roman, Palestinian",Late Imperial,4th century A.D.,300,399,Syria,http://www.metmuseum.org/art/collection/search/252993
74.51.3151,242585,Earring of simple form,Gold annular earring,Cypriot,Late Bronze Age,ca. 1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242585
62.70.31a--c,325406,Jar,Jar fragment with reclining bulls,Sumerian,Early Dynastic IIIa,ca. 2600--2500 B.C.,-2600,-2500,Mesopotamia,http://www.metmuseum.org/art/collection/search/325406
01.8.10,246935,Hydria,Terracotta hydria (water jar),"Greek, South Italian, Apulian",Late Classical,ca. 350--300 B.C.,-350,-300,Italy,http://www.metmuseum.org/art/collection/search/246935
91.1.463,245620,Neck-amphora,Terracotta neck-amphora (jar),"Greek, Attic",Archaic,ca. 510 B.C.,-510,-510,Greece,http://www.metmuseum.org/art/collection/search/245620
21.88.13,251039,Relief fragment with Eros carrying parasol,Marble fragment of a relief with a flying Eros,Roman,Early Imperial,1st century A.D.,1,100,Italy,http://www.metmuseum.org/art/collection/search/251039
60.11.5,255063,Lekythos,Terracotta lekythos (oil flask),"Greek, Corinthian",Late Corinthian I,ca. 570--550 B.C.,-575,-550,Greece,http://www.metmuseum.org/art/collection/search/255063
74.51.1329,240916,Bowl,Terracotta bowl,Cypriot,Early or Middle Bronze Age,ca. 2500--1600 B.C.,-2500,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240916
59.41.12,324842,Sculpture,Base and feet of a standing figure,Sumerian,Early Dynastic IIIb,ca. 2500--2350 B.C.,-2500,-2350,Mesopotamia,http://www.metmuseum.org/art/collection/search/324842
27.16,252888,Knob of an amphora lid,"Knob from the lid of a neck-amphora, joins lid of 17.230.14","Greek, Attic",Archaic,ca. 540 B.C.,-540,-540,Greece,http://www.metmuseum.org/art/collection/search/252888
64.17,255170,Kantharos,Terracotta kantharos,Etruscan,Archaic,7th century B.C.,-699,-600,Italy,http://www.metmuseum.org/art/collection/search/255170
17.194.276,249518,Jug,Glass jug,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/249518
09.221.20a--n,248157,Model of a cart with farmyard group,Bronze model of a cart with farmyard group,Etruscan or Roman,Hellenistic or Early Imperial,2nd century B.C.--1st century A.D.,-199,99,Italy,http://www.metmuseum.org/art/collection/search/248157
1999.325.31,327627,Cylinder seal,Cylinder seal,Babylonian,Old Babylonian,ca. early 2nd millennium B.C.,-2000,-1000,Mesopotamia,http://www.metmuseum.org/art/collection/search/327627
1982.445.11,326707,Pin,Pin,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326707
1985.192.15,327084,Cylinder seal,Cylinder seal and modern impression,Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/327084
"40.11.3a, b",253595,Cinerary urn with lid,Bronze cinerary urn with lid,"Etruscan, Campanian",Archaic,ca. 500 B.C.,-500,-500,Italy,http://www.metmuseum.org/art/collection/search/253595
26.31.200,252151,"Seal, amygdaloid",Jasper Amygdaloid,Minoan,Middle Minoan III--Late Minoan I,ca. 1650--1500 B.C.,-1650,-1500,Crete,http://www.metmuseum.org/art/collection/search/252151
07.232.164,247791,Vase fragment,Vase fragment,Minoan,Early Minoan III,,-2600,-2000,Crete,http://www.metmuseum.org/art/collection/search/247791
74.51.2396,241950,"Block, inscribed",Fragmentary marble inscription,"Roman, Cypriot","Early Imperial, Julio-Claudian",mid-1st century A.D.,25,75,Cyprus,http://www.metmuseum.org/art/collection/search/241950
86.11.485,321858,Cuneiform tablet,"Cuneiform tablet: fragment, Ebabbar archive",Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 7th--4th century B.C.,-700,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/321858
1999.325.72,327668,Cylinder seal,"Cylinder seal and modern impression: archer above galloping lion-griffin, shooting rearing lion-griffin",Assyrian,Neo-Assyrian,ca. 9th--8th century B.C.,-900,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/327668
81.10.183,245337,"Cosmetic flask, single",Glass cosmetic flask (kohl tube),"Roman, Syrian",Late Imperial,4th century A.D.,300,399,Syria,http://www.metmuseum.org/art/collection/search/245337
91.1.1832,257268,"Fragment, mosaic bowl",Glass mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257268
91.1.1683,257033,"Fragment, mosaic",Glass mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257033
59.41.13,324843,Vessel,Vessel,Sumerian,Early Dynastic II-III,ca. 2700--2350 B.C.,-2700,-2350,Mesopotamia,http://www.metmuseum.org/art/collection/search/324843
74.51.2690,242241,Head of a male votary,Limestone head of a beardless male votary,Cypriot,Classical,3rd quarter of the 5th century B.C.,-450,-426,Cyprus,http://www.metmuseum.org/art/collection/search/242241
06.1021.8,247182,Aryballos,Terracotta aryballos (oil flask),"Greek, Corinthian",Transitional,ca. 640--625 B.C.,-640,-625,Greece,http://www.metmuseum.org/art/collection/search/247182
06.1217.3,247592,Necklace,Gold necklace of beads and tubes,Greek,Hellenistic,ca. 330--300 B.C.,-330,-300,Greece,http://www.metmuseum.org/art/collection/search/247592
30.119.60,253265,Vase fragment,Vase fragment,"Neolithic, Gonia","Neolithic, first period",,-6500,-5800,Greece,http://www.metmuseum.org/art/collection/search/253265
1985.192.28,327097,Stamp seal,Double-sided stamp seal and modern impression: striding boar; vulture,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/327097
09.221.46s,248202,Kernos,Terracotta kernos (vase for multiple offerings),"Greek, South Italian, Campanian",Hellenistic,ca. 330--300 B.C.,-330,-300,Italy,http://www.metmuseum.org/art/collection/search/248202
56.171.9,254867,"Amphora, Type B",Terracotta amphora (jar),"Greek, Attic",Archaic,ca. 500--490 B.C.,-500,-490,Greece,http://www.metmuseum.org/art/collection/search/254867
64.11.13,255169,Amphora,Terracotta amphora (jar),"Greek, Attic",Archaic,ca. 540 B.C.,-540,-540,Greece,http://www.metmuseum.org/art/collection/search/255169
1986.11.3,255857,Panathenaic prize amphora fragment,Fragments of a terracotta Panathenaic prize amphora (jar),"Greek, Attic",Archaic,late 6th--early 5th century B.C.,-550,-480,Greece,http://www.metmuseum.org/art/collection/search/255857
17.194.384,249620,Mosaic block inlay,Glass and gold inlay,Roman,Early Imperial,late 1st century B.C.--1st century A.D.,-30,50,Italy,http://www.metmuseum.org/art/collection/search/249620
67.246.36,325917,Bowl,Bowl,Nabataean,Nabataean,ca. 1st century A.D.,1,100,Jordan,http://www.metmuseum.org/art/collection/search/325917
47.115.2,324032,Cylinder seal,Cylinder seal and modern impression: suppliant goddess,Babylonian or Kassite,late Old Babylonian--early Kassite,ca. 17th--16th century B.C.,-1700,-1500,Mesopotamia,http://www.metmuseum.org/art/collection/search/324032
1972.118.117,255428,Sarcophagus fragment,Marble sarcophagus fragment,Roman,Imperial,2nd century A.D.,-199,-100,Italy,http://www.metmuseum.org/art/collection/search/255428
07.232.234,247861,Vase fragment,Vase fragment,Minoan,Early Minoan III,,-2600,-2000,Crete,http://www.metmuseum.org/art/collection/search/247861
74.51.1020,240607,Bowl,Bowl,Cypriot,Late Cypriot,1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240607
39.11.2,253574,Necklace with 13 rosettes,Gilt terracotta ornaments from a necklace,Mycenaean,Late Helladic III,ca. 1400--1050 B.C.,-1400,-1050,Greece,http://www.metmuseum.org/art/collection/search/253574
41.160.429,253659,Scaraboid,Chalcedony scaraboid,Graeco-Persian,Classical,2nd half of the 5th century B.C.,-450,-400,Iran,http://www.metmuseum.org/art/collection/search/253659
74.51.322,239907,Alabastron,Glass alabastron (perfume bottle),"Greek, Eastern Mediterranean",Late Hellenistic,2nd--mid-1st century B.C.,-200,-50,Greece,http://www.metmuseum.org/art/collection/search/239907
17.194.1649,250149,Base fragment,Glass base fragment,Roman,Late Imperial,ca. 4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/250149
1986.4,255868,"Portrait bust of the Empress Faustina, the Younger","Marble portrait of the Empress Faustina the Younger, wife of the emperor Marcus Aurelius",Roman,Antonine,ca. A.D. 161--180,100,199,Italy,http://www.metmuseum.org/art/collection/search/255868
"48.11.5a, b",254598,Pyxis with lid,Terracotta pyxis (box with lid),"Greek, Attic",Geometric,mid-8th century B.C.,-775,-725,Greece,http://www.metmuseum.org/art/collection/search/254598
1999.325.186,327782,Cylinder seal,Cylinder seal,Mitanni,Mitanni,ca. 15th--13th century B.C.,-1500,-1200,Syria,http://www.metmuseum.org/art/collection/search/327782
12.214,248669,"Seal, discoid",Chalcedony Disk,Minoan,Middle Minoan III,ca. 1700--1600 B.C.,-1700,-1600,Crete,http://www.metmuseum.org/art/collection/search/248669
1989.281.57,255934,Finial of a kerykeion,Bronze finial of a kerykeion (herald's staff),Greek,Archaic,late 6th--early 5th century B.C.,-525,-475,Greece,http://www.metmuseum.org/art/collection/search/255934
